#Position (bp)	insert size
1.4970167195E9	223.15180220717093
1.5052647455E9	218.37645036527718
1.5135127715E9	224.11673848430954
1.5217607975E9	219.3287814201466
1.5300077405E9	217.20100562851783
1.5341317535E9	0.0
1.5382568495E9	223.27753054581478
1.5465048755E9	223.34387919404674
1.5547529015E9	221.5164073509534
1.5630009275E9	217.77507239156833
1.5712489535E9	220.17671492421297
1.5794969795E9	222.5998774588019
1.5877450055E9	225.22669309202806
1.595221928E9	223.00330691396633
1.599345941E9	0.0
1.6042410575E9	220.45489535722876
1.6124890835E9	223.66965781287388
1.6207371095E9	207.0760412284392
1.6289851355E9	224.9881450610258
1.6372331615E9	221.7176746229316
1.6433209975E9	216.79836165048545
1.6474450105E9	0.0
1.6537292135E9	208.0
1.6619772395E9	218.55208557068602
1.6702252655E9	222.9791235146626
1.6784732915E9	223.08481983589013
1.6867213175E9	219.51919660943003
1.6934743095E9	230.03093877805875
1.6961786655E9	0.0
1.696274814E9	0.0
1.6963854715E9	212.99845679012347
1.6965578825E9	208.55454545454546
1.696661813E9	0.0
1.6967741785E9	0.0
1.6969170575E9	0.0
1.697018664E9	0.0
1.697105344E9	0.0
1.697223072E9	0.0
1.697380707E9	0.0
1.6982754815E9	220.65685119748724
1.7032173695E9	225.56652548561414
1.7114653955E9	221.75912584579675
1.7197134215E9	225.08224958494742
1.7279614475E9	222.6380454078296
1.7362094735E9	229.55488862471498
1.7444574995E9	232.8548007896626
1.7527055255E9	224.94407552171384
1.7609535515E9	223.91707068129625
1.7692015775E9	225.82992410552944
1.7774496035E9	216.93437316068275
1.7856976295E9	229.65637012630424
1.7939456555E9	229.42072852131074
1.8021936815E9	222.14472559411865
1.8104417075E9	221.88824101069
1.8186897335E9	225.19737160039736
1.8269377595E9	221.06987403294522
1.8351857855E9	222.63732811219379
1.8434338115E9	219.87922437673132
1.8516818375E9	230.7768677635588
1.8599298635E9	224.83743746660838
1.8681778895E9	222.23181818181817
1.8764259155E9	220.25023028739867
1.8846739415E9	225.50922074522236
1.89227556E9	219.933568252767
1.895830864E9	0.0
1.8964772715E9	220.51340448777208
1.9011699935E9	219.5346422410252
1.9094180195E9	228.85934001394853
1.9176660455E9	221.0412829356754
1.9259140715E9	222.57272481040087
1.9341620975E9	228.20197033574345
1.9424101235E9	219.21993864018737
1.9506581495E9	222.43200288965144
1.9589061755E9	220.40572652902222
1.9671542015E9	222.11916871638803
1.9754022275E9	222.1727340267459
1.9836502535E9	224.48486721788632
1.9918982795E9	219.46674931019314
2.0001463055E9	222.78821028942926
2.0083943315E9	227.0815075921909
2.0166423575E9	226.45537274315666
2.0248903835E9	233.92592938103456
2.0331384095E9	227.24275769144398
2.0413864355E9	224.13982945901
2.0496344615E9	226.25479235143112
2.0578824875E9	225.5387292933529
2.0661305135E9	218.87694710808347
2.0743785395E9	222.65439953019478
2.082312835E9	231.14466240875913
2.086227972E9	0.0
2.0865417025E9	226.01126363956354
2.0908745915E9	220.13942287730953
2.0991226175E9	217.2461271174171
2.1073706435E9	224.82219031993438
2.1156186695E9	223.95620736698498
2.1238666955E9	222.72360453958905
2.1321147215E9	226.28674351585013
2.1403627475E9	220.8651867378049
2.1486107735E9	221.37133735815658
2.1568587995E9	225.75599775084342
2.1651068255E9	226.32792373702665
2.1733548515E9	230.44486425972573
2.1816028775E9	220.18306433056114
2.1898509035E9	219.68137205302034
2.1980989295E9	225.9667209761847
2.2063469555E9	223.66271301976823
2.2145949815E9	222.00779499479282
2.2228430075E9	225.01575296935948
2.2310910335E9	234.47555504822785
2.2393390595E9	222.64667786039817
2.2475870855E9	224.65524847107577
2.2558351115E9	216.30356387306753
2.263915105E9	227.99407708499675
2.26791743E9	0.0
2.2680854625E9	223.71653543307087
2.2723311635E9	222.16353437807206
2.2805791895E9	226.8286692725449
2.2888272155E9	218.72280993700227
2.2970752415E9	233.44327279828158
2.3053232675E9	218.75575521695924
2.3135712935E9	224.16619576406686
2.3218193195E9	222.93563239042797
2.3300673455E9	235.4719741796665
2.3383153715E9	222.6391380401206
2.3465633975E9	227.09007410911386
2.3548114235E9	229.11603375527426
2.3630594495E9	231.15015974440894
2.3713074755E9	227.46907404512532
2.3795555015E9	225.63288872974667
2.3878035275E9	219.96771030488222
2.3960515535E9	223.11396574440053
2.4042995795E9	226.61735712634257
2.4125476055E9	226.12763220866236
2.4207956315E9	224.80509156979744
2.4290436575E9	219.94580236645112
2.435968712E9	222.50744892512253
2.440092725E9	216.997959824231
2.4455397095E9	222.14021460602177
2.4537877355E9	219.26728465025906
2.4620357615E9	221.81558632210383
2.4702837875E9	217.00718579616944
2.4785318135E9	222.08766320277113
2.4867798395E9	222.48868375923612
2.4950278655E9	213.6419140051913
2.5032758915E9	222.45832801531589
2.5115239175E9	217.0784569314779
2.5197719435E9	226.94960657255265
2.5280199695E9	230.02757017772345
2.5362679955E9	225.2873827824028
